IDLicitacion;NombreLicitacion;Tipo;Estado;FechaPublicacion;Descripcion;Moneda;TipoPresupuesto;TipoMonto;MontoLicitacion;Organismo
1549-115-LE22;SERV RETIRO RESIDUOS PELIGROSOS DESDE HSJ Y MARURI;LE;Adjudicada a uno o varios proveedores;17/10/2022 10:47:23;El Hospital San José presenta las siguientes bases técnicas para contratar el servicio de retiro, transporte y disposición final de residuos peligrosos provenientes del Hospital San José y de Dental Maruri.   La propuesta económica se ingresará a través del Sistema de Información, ofertándose el valor neto total del convenio de suministro, como 1 Global. Este valor, se expresará en moneda nacional y deberá incluir traslados y cualquier otro rubro, con excepción de los impuestos, que incida en el mismo.  Debido a que no es posible determinar la cantidad exacta de kilos a retirar mensualmente, a la presente contratación se le asigna el presupuesto máximo indicado anteriormente, por lo que el valor mensual del servicio se irá descontando de aquel monto, en forma parcializada según la cantidad en kilos de residuos peligrosos retirados, lo que deberá estar validado por el administrador del contrato del Hospital, de modo tal que, el presupuesto total disponible para la presente licitación es un monto máximo y referencial y en ningún caso significa que será utilizado en su totalidad, toda vez que su uso está condicionado a las necesidades del Hospital.;CLP;NO PUBLICADO;DISPONIBLE;Entre 100 y 1000 UTM;SERVICIO DE SALUD METROPOLITANA NORTE HOSPITAL SAN JOSE
4642-135-LE19;contratación de los servicios de Higiene Ambiental y Manejo Integrado de Plagas para el Centro Médico Dental de Puerto Montt  Retiro, Transporte y Disposición Final de Residuos Peligrosos y Especiales para el Consultorio de San Antonio y Vallenar  todos p;LE;Adjudicada a uno o varios proveedores;16/12/2019 17:46:58;REX Nº1693, Aprueba bases por la contratación de los servicios de Higiene Ambiental y Manejo Integrado de Plagas para el Centro Médico Dental de Puerto Montt  Retiro, Transporte y Disposición Final de Residuos Peligrosos y Especiales para el Consultorio de San Antonio y Vallenar  todos por un periodo de 36 meses y pertenecientes a la Red de Salud de Carabineros.;CLP;NO PUBLICADO;ESTIMADO;Entre 100 y 1000 UTM;Carabineros de Chile
2863-1-LE24;SUMINISTRO REAS ;LE;Adjudicada a uno o varios proveedores;12/02/2024 13:31:00;ADQUISICION DE SUMINISTRO DE RETIRO, MANEJO, TRATAMIENTO Y DISPOSICIÓN FINAL DE RESIDUOS PELIGROSOS Y ESPECIALES DE LOS ESTABLECIMIENTOS DE SALUD DEL DESAM;CLP;NO PUBLICADO;DISPONIBLE;Entre 100 y 1000 UTM;I MUNICIPALIDAD PUERTO OCTAY
1989-14-LE22;Retiro de residuos peligrosos y traslado a planta;LE;Adjudicada a uno o varios proveedores;12/07/2022 12:11:51;Servicio de retiro de residuos peligrosos desde bodega RESPEL en el aeropuerto Diego Aracena de Iquique y traslado hasta planta de tratamiento. Esta Institución retiene el 2% del total facturado según Ley 16.752 en su artículo 37;CLP;PUBLICADO;DISPONIBLE;6.000.000;DIRECCION GENERAL DE AERONAUTICA CIVIL
2583-195-L121;“Retiro y Destrucción de Residuos Peligrosos y Especiales”/Programa de Apoyo a la Gestión 2021 /DISAM/ SP 42837/POS.;L1;Adjudicada a uno o varios proveedores;24/08/2021 17:45:33;Servicio de Retiro y Destrucción de Residuos Peligrosos y Especiales, generados en los establecimientos de Salud Familiar CESFAM y Centros Comunitarios de Salud Familiar CECOSF, Según lo dispuesto por la autoridad sanitaria y la reglamentación ambiental vigente, en toda la red de Salud Municipal, perteneciente a la Ilustre Municipalidad de Maipú.;CLP;PUBLICADO;ESTIMADO;5.217.160;I MUNICIPALIDAD DE MAIPU
1176-6-LE23;Retiro residuos peligrosos Vialidad Limari Ovalle;LE;Adjudicada a uno o varios proveedores;31/07/2023 12:44:00;Servicio por retiro de residuos peligros desde bodega y campamentos de la Dirección Provincial de Vialidad Limari Ovalle consultas a Carlos Vega Alfaro fono 53 2432508 Correo carlos.vega@mop.gov.cl Detalles en Bases anexos adjuntos.;CLP;NO PUBLICADO;ESTIMADO;Entre 100 y 1000 UTM;MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF
3996-1-L120;Servicios de Retiro de Residuos Especiales y Peligrosos 2020 ;L1;Adjudicada a uno o varios proveedores;17/01/2020 13:37:29;Se requiere realizar contratación de Servicios de Retiro de Residuos Especiales y Peligrosos para el Centro de Salud Familiar de Coltauco y postas dependientes.;CLP;NO PUBLICADO;DISPONIBLE;Menor a 100 UTM;Ilustre Municipalidad de Coltauco
2546-47-L120;Serv. Retiro Residuos Peligrosos Centro Esteriliza;L1;Adjudicada a uno o varios proveedores;14/08/2020 11:27:00;Contratar Servicio de Retiro de Residuos y Eliminación de Residuos Especiales y Peligrosos, para el Centro de Esterilización de Mascotas de la comuna de Padre Las Casas, según TTR adjuntos;CLP;NO PUBLICADO;DISPONIBLE;Menor a 100 UTM;MUNICIPALIDAD DE PADRE LAS CASAS
769-27-LP20;RETIRO Y DISPOSICION FINAL RESIDUOS ESPECIALES Y PELIGROSOS, SSA. PTA 34-2020;LP;Adjudicada a uno o varios proveedores;10/06/2020 11:19:00;El servicio de salud Antofagasta, a través de las presentes bases, llama a licitación publica, de acuerdo a lo regido en la ley de compras 19886 y su reglamento, el retiro y disposición final de residuos especiales y peligrosos de los establecimientos de salud del servicio de salud antofagasta;CLP;NO PUBLICADO;ESTIMADO;Igual o superior a 1.000 UTM e inferior a 2.000 UTM;Servicio de Salud Antofagasta
3542-14-LE21;SERVICIO DE RETIRO DE RESIDUOS PELIGROSOS;LE;Adjudicada a uno o varios proveedores;08/07/2021 16:10:59;MATERIALIZAR EL RETIRO DE LOS RESIDUOS DE CARÁCTER PELIGROSO, PROVENIENTES DE LOS CAMPAMENTOS EMPLAZADOS EN LA ISLA GRANDE DE TIERRA DEL FUEGO, XII REGIÓN, LOS CUALES SE ENCUENTRAN ALMACENADOS EN DEPENDENCIAS DEL CAMPAMENTO BASE EN LA CIUDAD DE PUNTA ARENAS.;CLP;NO PUBLICADO;DISPONIBLE;Entre 100 y 1000 UTM;COMANDO DE APOYO A LA FUERZA
2780-109-LP22;SERVICIO DE RETIRO Y TRASLADO DE RESIDUOS PELIGROS;LP;Adjudicada a uno o varios proveedores;23/03/2022 09:03:25;SERVICIO DE RETIRO Y TRASLADO DE RESIDUOS PELIGROSOS Y VENTA DE INSUMOS DE ALMACENAJE DEL MATERIAL CORTOPUNZANTE, PARA LOS MESES DE ABRIL A DIECIEMBRE 2022.;CLP;NO PUBLICADO;ESTIMADO;Igual o superior a 1.000 UTM e inferior a 2.000 UTM;I MUNICIPALIDAD DE LA LIGUA
2401-261-L123;RETIRO TRANSPORTE Y DISPOCIÓN DE RESIDUOS PELIGRO;L1;Adjudicada a uno o varios proveedores;20/10/2023 12:26:04;EXP:15461/2023 SOLICITUD N° 1014/2023 UNIDAD:DIRECCION DE GESTION AMBIENTAL ADQUISICIÓN DE SERVICIOS DE RETIRO Y DISPOSICIÓN DE RESIDUOS PELIGROSOS.;CLP;PUBLICADO;DISPONIBLE;6.000.001;I MUNICIPALIDAD DE RANCAGUA
1057547-484-LR23;COMPRA DE SERVICIO RETIROTRANSP Y DISP REAS;LR;Adjudicada a uno o varios proveedores;30/10/2023 12:04:00;COMPRA DE SERVICIO DE RETIRO, TRANSPORTE Y DISPOSICIÓN FINAL DE RESIDUOS PELIGROSOS Y RESIDUOS ESPECIALES EN EL HOSPITAL BASE VALDIVIA;CLP;PUBLICADO;ESTIMADO;360.000.000;SERVICIO DE SALUD VALDIVIA HOSPITAL BASE
1024-15-LE24;SERV. RETIRO Y TRANSPORTE RES. PELIGROSOS. DRV;LE;Adjudicada a uno o varios proveedores;08/05/2024 15:10:00;Que, se requiere la contratación del servicio de retiro, transporte y disposición final de residuos peligrosos y neumáticos fuera de uso NFU, generados por la Dirección de Vialidad, Región de Tarapacá.;CLP;PUBLICADO;DISPONIBLE;60.000.000;MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF
5196-44-L122;GA015 Retiro y disposición final de residuos peligrosos;L1;Adjudicada a uno o varios proveedores;03/06/2022 11:30:01;GA015 Retiro y disposición final de residuos peligrosos desde Base Aérea Pudahuel. ;CLP;PUBLICADO;DISPONIBLE;4.000.000;FUERZA AEREA DE CHILE COMANDO LOGISTICO
3376-7-LP25;SERVICIO DE RETIRO RESIDUOS PELIGROSOS;LP;Adjudicada a uno o varios proveedores;21/03/2025 14:04:46;ADQUISICIÓN DEL SERVICIO DE ASEO,  RETIRO, TRANSPORTE Y DISPOSICIÓN FINAL DE LOS RESIDUOS PELIGROSOS” DEL EJÉRCITO DE CHILE.;CLP;PUBLICADO;DISPONIBLE;79.432.500;COMANDO DE APOYO A LA FUERZA
745712-20-LP23;DLA SC 1824 RETIRO Y DESTRUCCIÓN DE RESIDUOS - INF;LP;Adjudicada a uno o varios proveedores;09/01/2024 10:28:26;El Departamento RED SAG de Laboratorios, requiere contar con un servicio de retiro y destrucción de residuos peligrosos sólidos y líquidos en la modalidad de suministro por 24 meses, debido a que estos deben ser tratados y neutralizados mediante incineración, autoclavado, microondas u otro método autorizado por los organismos reguladores, para de esta forma no ser un riesgo para personas, animales ni el medio ambiente, asegurando su correcta disposición final.;CLP;NO PUBLICADO;ESTIMADO;Igual o superior a 1.000 UTM e inferior a 2.000 UTM;SERVICIO AGRICOLA Y GANADERO
1655-13-LE20;Servicios de retiro y transportes y eliminación de residuos especiales y peligrosos;LE;Adjudicada a uno o varios proveedores;17/02/2020 20:26:52;Contar con un proveedor competente, sanitario y legalmente responsable, capaz de ofrecer servicio de manipulación, retiro, tenencia, almacenamiento, tratamiento, transporte, reciclaje, disposición final, y otras formas de eliminación de los Residuos Hospitalarios. Específicamente los correspondientes a las categorías N°1 y N°3 definidas en el decreto N°6 del 2009, clasificados según su riesgo como Residuos Peligrosos y Especiales.;CLP;PUBLICADO;ESTIMADO;47.360.000;Dirección Atención Primaria, Serv.Salud M.Central
1989-22-L120;Servicio retiro, traslado y tratamiento de residuos peligrosos.;L1;Adjudicada a uno o varios proveedores;29/05/2020 15:38:15;Servicio retiro, traslado y tratamiento de residuos peligrosos, desde la bodega respel, del Aeropuerto Diego Aracena de Iquique a Planta de Tratamiento autorizada.;CLP;PUBLICADO;DISPONIBLE;2.000.000;Dirección General de Aeronáutica Civil
2345-43-LE21;TRASLADO Y OTROS DE RESIDUOS PELIGROSOS;LE;Adjudicada a uno o varios proveedores;30/03/2021 19:28:00;El presente proceso licitatorio tiene por objeto contratar el Servicio de Traslado, Tratamiento y Disposición Final de los siguientes residuos domiciliarios considerados peligrosos generados por los vecinos de Las Condes y entregados a través de los distintos puntos de recolección ubicados en la comuna;CLF;NO PUBLICADO;ESTIMADO;Entre 100 y 1000 UTM;I MUNICIPALIDAD DE LAS CONDES
979-5-LE22;Retiro Transporte y Disposición final de residuos;LE;Adjudicada a uno o varios proveedores;30/03/2022 16:57:00;La Dirección de Vialidad requiere la contratación del servicio de Retiro, Transporte y Disposición final de Residuos Peligrosos del recinto Laboratorio Nacional de Vialidad, para un periodo de 33 meses.;CLP;NO PUBLICADO;DISPONIBLE;Entre 100 y 1000 UTM;MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF
3590-5-L123;CONVENIO DE SUMINISTRO RETIRO, TRANSPORTE Y DISPOSICIÓN FINAL DE RESIDUOS;L1;Adjudicada a uno o varios proveedores;06/03/2023 08:30:06;Adquirir un convenio de suministro para el servicio de retiro, transporte y disposición final de residuos especiales y residuos peligrosos , generados en establecimientos de salud dependientes del Departamento de Salud .Según lo establecido en las presente bases administrativas, especificaciones técnicas y anexos de la presente propuesta pública.;CLP;NO PUBLICADO;ESTIMADO;Menor a 100 UTM;I MUNICIPALIDAD DE YUNGAY
3996-19-L123;Servicios de Retiro de Residuos Especiales y Peligrosos 2023;L1;Adjudicada a uno o varios proveedores;02/03/2023 12:27:16;La necesidad de contratar los servicios de Retiro de Residuos Especiales y Peligrosos, necesarios para los Recintos de Atención Primaria de Salud de la comuna.;CLP;NO PUBLICADO;ESTIMADO;Menor a 100 UTM;I MUNICIPALIDAD DE COLTAUCO
1239966-2-LE23;SERVICIO PARA MANEJO RETIRO Y TRANSP DE RESIDUOS;LE;Adjudicada a uno o varios proveedores;04/07/2023 08:28:32;Regular el llamado a propuesta pública para “CONTRATO DE SERVICIOS PARA MANEJO, RETIRO Y TRANSPORTE DE RESIDUOS PELIGROSOS y ESPECIALES, AREA SALUD CORMUNAT”, que cuente con los máximos estándares de calidad, de acuerdo con la normativa vigente. En virtud de la necesidad de prevenir y controlar riesgos del personal que se desempeña y que transporta estos residuos en el Centro de Salud Familiar.;CLP;NO PUBLICADO;DISPONIBLE;Entre 100 y 1000 UTM;Corporación de Ecuación, Salud y Menores de Puerto Natales
1989-21-L123;SERVICIO PARA RETIRO DE RESIDUOS PELIGROSOS;L1;Adjudicada a uno o varios proveedores;02/08/2023 12:25:58;CONTRATACIÓN DE SERVICIO DE RETIRO DE RESIDUOS PELIGROSOS DEL AEROPUERTO DIEGO ARACENA IQUIQUE. Esta Institución retiene el 2% del total facturado según ley 16.752 en su artículo 37.;CLP;PUBLICADO;DISPONIBLE;6.025.266;DIRECCION GENERAL DE AERONAUTICA CIVIL
3540-207-L124;SERV. DE RETIRO DE RESIDUOS PELIGROSOS EN BODEGA RESPEL (pm.2383);L1;Adjudicada a uno o varios proveedores;14/11/2024 18:11:59;El CMT “Coyhaique” requiere el retiro de la “Bodega de Respel”, ubicado en el Campamento Base, con el objeto de dar cumplimiento al Decreto Supremo N.°148 de 2004 y su reglamento del Ministerio de Salud.// Leer Bases de Licitación, completar anexos solicitados.;CLP;NO PUBLICADO;ESTIMADO;Menor a 100 UTM;COMANDO DE APOYO A LA FUERZA
1464-81-LE23;RETIRO  RESIDUOS PELIGROSOS ESPECIALES Y LIQUIDOS;LE;Adjudicada a uno o varios proveedores;03/10/2023 12:03:22;El Hospital de Parral requiere contratar los servicios de  Retiro, Traslado, tratamiento y Disposición Final de Residuos Especiales y Peligrosos del Hospital desde sus dependencias, con equipamiento y personal adecuado, en virtud de  las normas y reglamentos vigentes que regulan la manipulación y tratamiento de este tipo de productos o sustancias toxicas y las Bases Administrativas, Especificaciones Técnicas y Anexos que constituyen el referido llamado a Licitación Pública, por lo que se requiere contratar estos servicios por un periodo de  24 meses.;CLP;PUBLICADO;ESTIMADO;63.000.000;SERVICIO DE SALUD DEL MAULE HOSPITAL DE PARRAL
2548-10-LP25;CONTRATO DE SUMINISTRO SERVICIO DE MANEJO DE REAS;LP;Adjudicada a uno o varios proveedores;05/03/2025 17:25:36;CONTRATO DE SUMINISTRO SERVICIO DE MANEJO, RECOLECCIÓN, TRANSPORTE Y DISPOSICIÓN FINAL DE RESIDUOS PELIGROSOS, RADIOACTIVOS DE BAJA INTENSIDAD Y RESIDUOS ESPECIALES PROVENIENTES DE ESTABLECIMIENTOS DE SALUD URBANOS Y RURALES DE LA COMUNA DE PADRE LAS CASAS.;CLP;PUBLICADO;DISPONIBLE;78.297.000;I MUNICIPALIDAD DE PADRE LAS CASAS
1746-13-LE25;Servicio de retiro de Residuos Peligrosos Lab;LE;Adjudicada a uno o varios proveedores;16/06/2025 16:24:18;Contar con el servicio solicitado mediante Resolución Exenta N 581 de fecha 16-06-2025, para el Laboratorio de Salud Pública y Ambiental, ubicado en calle Ciro Arredondo N 40 Puerto Aysén.;CLP;PUBLICADO;DISPONIBLE;11.000.000;SUBSECRETARIA DE SALUD PUBLICA
3996-111-L121;Servicios de Retiro de Residuos Especiales y Peligrosos 2022;L1;Adjudicada a uno o varios proveedores;06/01/2022 16:16:02;La necesidad de contar con los servicios de Retiro de Residuos Especiales y Peligrosos, para CESFAM y sus establecimientos dependientes.;CLP;NO PUBLICADO;ESTIMADO;Menor a 100 UTM;I MUNICIPALIDAD DE COLTAUCO
3268-10-LE22;400 413 0102022 DA CONTRATACIÓN DE LOS SERVICIOS DE RETIRO TRANSPORTE Y ENTREGA A LA INSTALACIÓN DE ELIMINACIÓN QUE REALIZARÁ EL TRATAMIENTO Y DISPOSICIÓN FINAL DE RESIDUOS PELIGROSOS LÍQUIDOS Y SÓLIDOS PROCEDENTES DE LAS BASES ANTÁRTICAS;LE;Adjudicada a uno o varios proveedores;26/05/2022 10:58:00;CONTRATACIÓN DE LOS SERVICIOS DE RETIRO, TRANSPORTE Y ENTREGA A LA INSTALACIÓN DE ELIMINACIÓN QUE REALIZARÁ EL TRATAMIENTO Y DISPOSICIÓN FINAL DE RESIDUOS PELIGROSOS (LÍQUIDOS Y SÓLIDOS), PROCEDENTES DE LAS BASES ANTÁRTICAS;CLP;PUBLICADO;DISPONIBLE;47.000.000;FUERZA AEREA DE CHILE COMANDO LOGISTICO
5196-15-L123; GA003 Retiro y disposición final de residuos peligrosos;L1;Adjudicada a uno o varios proveedores;07/03/2023 08:36:00;GA003 Retiro y disposición final de residuos peligrosos desde Base Aérea Pudahuel ;CLP;PUBLICADO;ESTIMADO;4.000.000;FUERZA AEREA DE CHILE COMANDO LOGISTICO
2786-3-LE23;OPI 17865 RETIRO DE RESIDUOS PELIGROSOS SPP;LE;Adjudicada a uno o varios proveedores;02/05/2023 12:14:38;Retiro de Residuos especiales y peligrosos en los centros de salud de la comuna de San Pedro de la Paz, según Bases Administrativas y Especificaciones Técnicas adjuntas.  ;CLP;NO PUBLICADO;DISPONIBLE;Entre 100 y 1000 UTM;I MUNICIPALIDAD DE SAN PEDRO DE LA PAZ
2780-39-LE23;SERVICIO DE RETIRO DE RESIDUOS PELIGROS;LE;Adjudicada a uno o varios proveedores;08/03/2023 12:44:24;SREVICIO DE TRASLADO DE RESIDUOS PELIGROSOS Y COMPRA DE INSUMOS PARA  LOS CENTROS DE SALUD DEPENDIENTES DE SALUD DE LA COMUNA LA LIGUA PARA LOS MESES DE ABRIL A DICIEMBRE 2023, SE ADJUNTAN BASES ADMINISTRATIVA Y TECNICAS, SERVICIO AUTORIZADO SEGUN DECRETO DE ALCALDIA NRO.1763 DEL 27022023;CLP;NO PUBLICADO;DISPONIBLE;Entre 100 y 1000 UTM;I MUNICIPALIDAD DE LA LIGUA
4464-14-LQ23;SUMINISTRO DE RETIRO TRANSPORTE Y DISPOSICIÓN FINAL DE RESIDUOS PELIGROSOS Y ESPECIALES;LQ;Adjudicada a uno o varios proveedores;03/04/2023 12:53:31;El Hospital San Juan de Dios de Curicó, SUMINISTRO DE RETIRO TRANSPORTE Y DISPOSICIÓN FINAL DE RESIDUOS PELIGROSOS Y ESPECIALES, para el antiguo recinto del Hospital. ;CLP;NO PUBLICADO;ESTIMADO;Igual o superior a 2.000 UTM e inferior a 5.000 UTM ;SERVICIO DE SALUD DEL MAULE HOSPITAL DE CURICO
2467-52-L121;CARGA, TRANSP. Y DISP. FINAL DE RESIDUOS PELIGROSO;L1;Adjudicada a uno o varios proveedores;01/03/2021 17:08:48;La I. Municipalidad de Chillán mediante la presente licitación tiene por objeto contratar el servicio para el servicio de carga, transporte, tratamiento y disposición final de residuos peligrosos, para pilas generadas por la comunidad, a través de la disposición de estas en la red de puntos verdes comunales, según especificaciones técnicas.;CLP;PUBLICADO;DISPONIBLE;5.000.000;I MUNICIPALIDAD DE CHILLAN
4407-27-LE20;RETIRO DE RESIDUOS CONTAMINADOS Y PELIGROSOS PARA EL CESFAM LUMACO;LE;Adjudicada a uno o varios proveedores;24/04/2020 13:44:19;CONVENIO RETIRO DE RESIDUOS PELIGROSOS Y RESIDUOS HOSPITALARIOS, de acuerdo con las disposiciones contenidas en D.S.148-03 y D.S.06-09 Reglamento Sobre Manejo de Residuos de Establecimientos de Atención de Salud para el CESFAM Lumaco y sus dependencias.;CLP;PUBLICADO;ESTIMADO;8.000.000;Ilustre Municipalidad de Lumaco
1989-19-L124;SERVICIO PARA RETIRO DE RESIDUOS PELIGROSOS;L1;Adjudicada a uno o varios proveedores;27/06/2024 14:59:11;ADQUISICIÓN DEL SERVICIO DE RETIRO DE RESIDUOS PELIGROSOS DEL AEROPUERTO DIEGO ARACENA IQUIQUE. Esta Institución retiene el 2% del total facturado según ley 16.752 en su artículo 37. ;CLP;PUBLICADO;DISPONIBLE;6.000.000;DIRECCION GENERAL DE AERONAUTICA CIVIL
3328-63-LQ21;RETIRO DE RESIDUOS PELIGROSOS;LQ;Adjudicada a uno o varios proveedores;15/06/2021 08:28:14;SERVICIO DE RETIRO, TRANSPORTE, TRATAMIENTO Y DISPOSICIÓN FINAL CERTIFICADA DE RESIDUOS CLÍNICOS CLASIFICADOS COMO ESPECIALES Y PELIGROSOS;CLP;NO PUBLICADO;DISPONIBLE;Igual o superior a 2.000 UTM e inferior a 5.000 UTM ;FUERZA AEREA DE CHILE COMANDO LOGISTICO
1947-144-LQ21;SERVICIOS DE RETIRO, TRANSPORTE, TRATAMIENTO Y ELIMINACIÓN FINAL DE RESIDUOS ESPECIALES Y PELIGROSOS DEL HOSPITAL ROBERTO DEL RÍO;LQ;Adjudicada a uno o varios proveedores;13/10/2021 16:13:36;SERVICIOS DE RETIRO, TRANSPORTE, TRATAMIENTO Y ELIMINACIÓN FINAL DE RESIDUOS ESPECIALES Y PELIGROSOS DEL HOSPITAL ROBERTO DEL RÍO;CLP;NO PUBLICADO;DISPONIBLE;Igual o superior a 2.000 UTM e inferior a 5.000 UTM ;SERVICIO DE SALUD NORTE HOSPITAL ROBERTO DEL RIO
1434-4-L121;SERVICIO DE RETIRO, TRANSPORTE, TRATAMIENTO Y ELIMINACIÓN FINAL DE RESIDUOS ESPECIALES Y PELIGROSOS;L1;Adjudicada a uno o varios proveedores;21/04/2021 17:12:43;Se requiere contratar por un periodo de 24 meses el SERVICIO DE RETIRO, TRANSPORTE, TRATAMIENTO Y ELIMINACIÓN FINAL DE RESIDUOS ESPECIALES Y PELIGROSOS PARA LAS CLÍNICAS DENTALES DEL DEPARTAMENTO BIENESTAR SOCIAL DE LA DIRECCIÓN GENERAL DE AERONÁUTICA CIVIL, REGIÓN METROPOLITANA.;CLP;PUBLICADO;ESTIMADO;3.000.000;DIRECCION GENERAL DE AERONAUTICA CIVIL
4346-8-LE25;Servicios de retiros especiales de los establecimientos de Salud;LE;Adjudicada a uno o varios proveedores;14/05/2025 12:55:40;1.2.	OBJETIVO:  Cumplir con lo dispuesto en normativa legal vigente, Decretos Supremos N° 6  sobre manejo de residuos de establecimientos de atención de salud (REAS) y manejo de residuos peligrosos, respectivamente, con el propósito de llevar  acabo el servicio de retiro, transporte, tratamiento y disposición final de residuos especiales y peligrosos generados por el Hospital de San Javier. ;CLP;NO PUBLICADO;ESTIMADO;Entre 100 y 1000 UTM;SERVICIO DE SALUD DEL MAULE HOSPITAL SAN JAVIER
2458-3-LE25;RECOLECCION TRANSPORTE Y DISPOSICION DE PILAS;LE;Adjudicada a uno o varios proveedores;16/06/2025 11:15:54;La Municipalidad de Providencia, requiere contratar el “SERVICIO DE RECOLECCIÓN, TRANSPORTE, TRATAMIENTO Y DISPOSICIÓN ADECUADA DE PILAS DOMÉSTICAS FUERA DE USO”, para 10 puntos de recolección instalados en dependencias municipales, lo que son informados en el Punto 2 de las Bases Técnicas.  El servicio debe realizarse con una frecuencia de retiro cada 15 días corridos en todos los puntos, según la ruta que proponga el contratista. El vehículo que se utilice para el transporte de los residuos peligrosos, y el lugar o planta donde se realizará el tratamiento y disposición final de los residuos, deberán contar con autorización emitida por la Autoridad Sanitaria.;CLP;PUBLICADO;ESTIMADO;15.000.000;I MUNICIPALIDAD DE PROVIDENCIA
979-25-CO25;Retiro Transporte y Disposición final de residuos;CO;Adjudicada a uno o varios proveedores;19/06/2025 10:48:33;Servicio para el Retiro, Transporte y Disposición final de Residuos Peligrosos del recinto Laboratorio Nacional de Vialidad, para un periodo de 36 meses.;CLP;NO PUBLICADO;ESTIMADO;Igual o superior a 100 UTM e inferior a 1000 UTM;MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF
552975-49-LP24;SERVICIO RETIRO MANEJO TRANSPORTE Y DE RESIDUOS;LP;Adjudicada a uno o varios proveedores;24/05/2024 16:34:00;La Corporación requiere contar con un servicio de retiro, manejo, traslado y eliminación de residuos especiales y peligrosos desde los centros de salud que administra. Este servicio se debe realizar para prevenir y controlar los riesgos provenientes de dichos residuos, dando cumplimiento a las normas y reglamentos vigentes que regulan la manipulación y eliminación de este tipo de residuos.;CLP;NO PUBLICADO;DISPONIBLE;Igual o superior a 1.000 UTM e inferior a 2.000 UTM;CORP DE DESARROLLO SOCIAL DE PROVIDENCIA
4013-9-LE23;Compra de Servicio retiro de residuos especiales y peligrosos;LE;Adjudicada a uno o varios proveedores;27/03/2023 12:39:27;El Departamento de Salud de la Municipalidad de Puchuncaví, llama a participar en la presente Licitación Pública, para establecer un convenio de servicio con una empresa especializada en el retiro de residuos especiales y peligrosos, particularmente en los que tienen relación con el manejo, tratamiento y disposición final de residuos tales como, orgánicos, sustancias químicas y cortopunzantes, y que utilicen para esto la tecnología establecida para estos efectos.  Asimismo, a través de este proceso se busca dar cumplimiento a los decretos N° 6 y N° 148, referidos a REAS y Residuos Peligrosos generados por establecimientos de salud, para el normal desempeño de los Centros de Salud Familiar y Postas de la Comuna.;CLP;NO PUBLICADO;DISPONIBLE;Entre 100 y 1000 UTM;I MUNICIPALIDAD DE PUCHUNCAVI
4735-7-LE25;Convenio de suministro Servicio de retiro manejo transporte y eliminación de residuos peligrosos líquidos sólido y medicamentos del Centro de Salud Familiar de la Comuna de CholChol año 2025;LE;Adjudicada a uno o varios proveedores;06/03/2025 08:42:00;La Municipalidad de CholChol, requiere contratar el servicio de una empresa especializada en el retiro, transporte y eliminación de residuos CORTOPUNZANTES, CONTAMINADOS, ESPECIALES Y PELIGROSOS;CLP;NO PUBLICADO;DISPONIBLE;Entre 100 y 1000 UTM;MUNICIPALIDAD DE CHOLCHOL
1057547-327-LR20;RESIDUOS PELIGROSO Y RESIDUOS ESPECIALES;LR;Adjudicada a uno o varios proveedores;25/08/2020 08:40:00;“SERVICIO RETIRO, TRANSPORTE Y DISPOSICION FINAL DE RESIDUOS PELIGROSOS Y RESIDUOS ESPECIALES, EN EL HOSPITAL BASE VALDIVIA”;CLP;PUBLICADO;ESTIMADO;330.202.800;SERVICIO DE SALUD VALDIVIA HOSPITAL BASE
4083-4-LP20;CONVENIO SERVICIO DE RETIRO DE REAS 24 Meses;LP;Adjudicada a uno o varios proveedores;23/01/2020 19:21:05;Convenio Servicio de Retiro, Transporte  y eliminación de Residuos Peligrosos y Especiales. NP 853 ;CLP;NO PUBLICADO;ESTIMADO;Igual o superior a 1.000 UTM e inferior a 2.000 UTM;Ilustre Municipalidad de Cabrero
2887-5-LE23;CON. SUMINISTRO MATERIAL PELIGROSO Y CONTAMINADO;LE;Adjudicada a uno o varios proveedores;09/03/2023 14:42:10;CONVENIO SUMINISTRO SERVICIO RETIRO Y TRANSPORTES MATERIALES- RESIDUOS PELIGROSOS Y CONTAMINADOS CESFAM ENTRE LAGOS, DEPTO. SALUD PUYEHUE;CLP;PUBLICADO;ESTIMADO;8.500.000;I MUNICIPALIDAD DE PUYEHUE
2099-15-LE22;CONV.SUM.RET.TRASL Y DISP.FINAL RESIDUOS LAB XII R;LE;Adjudicada a uno o varios proveedores;18/04/2022 15:16:51;La SEREMI de Salud de Magallanes y Antártica Chilena, requiere contratar un convenio de suministro para el Laboratorio de Salud Pública, Ambiental y Laboral de Punta Arenas y los Laboratorios Zonales de Puerto Natales y Porvenir por el servicio de retiro, traslado y disposición final de residuos peligrosos y biológicos generados en dichas dependencias.-;CLP;NO PUBLICADO;ESTIMADO;Entre 100 y 1000 UTM;SUBSECRETARIA DE SALUD PUBLICA
